Dis No,Year,Seq,Disaster Group,DisasterSubgroup,Disaster Type,Disaster Subtype,value,Entry Criteria,Country,ISO,Region,Associated Dis,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,StartMonth,Start Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$)
2009-0131-GBR,2009,131,Technological,Technological,Transport accident,Air,1,Kill,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,,No,No,,,,,,,,2009,4,1,16,,,,,,,
2009-0226-ITA,2009,226,Technological,Technological,Transport accident,Rail,1,Kill,Italy,ITA,Southern Europe,,No,No,,,,,,,,2009,6,29,29,17,,100,117,,,
2007-0334-RUS,2007,334,Natural,Geophysical,Earthquake,Ground movement,1,Affected,Russian Federation (the),RUS,Eastern Europe,Tsunami/Tidal wave,,,,6,Richter,47.116,141.798,13:37,,2007,8,2,2,12,,7500,7512,,,420000
2007-0458-SVN,2007,458,Natural,Meteorological,Storm,,1,Affected,Slovenia,SVN,Southern Europe,"Slide (land, mud, snow, rock)",,,,,Kph,46.26,14.03,,Sora,2007,9,18,6,,,1050,1050,,,292000
2007-0562-MNE,2007,562,Natural,Hydrological,Flood,Flash flood,1,Affected,Montenegro,MNE,Southern Europe,Broken Dam/Burst bank,,Yes,,,Km2,42.46,20.8,,Tara,2007,11,26,,,1086,,1086,,,
2007-0393-ROU,2007,393,Natural,Hydrological,Flood,Riverine flood,1,Affected,Romania,ROU,Eastern Europe,Rain,,,,32270,Km2,46.76,25.6,,Lucava,2007,8,25,2,,1400,,1400,,,
2007-0340-ROU,2007,340,Natural,Hydrological,Flood,,1,Affected,Romania,ROU,Eastern Europe,Rain,,,,,Km2,,,,,2007,8,7,3,,960,,960,,,
2007-0396-UKR,2007,396,Natural,Meteorological,Storm,,1,Affected,Ukraine,UKR,Eastern Europe,Rain,,,,,Kph,,,,,2007,7,22,,17,6268,1267,7552,,,
2007-0235-ROU,2007,235,Natural,Meteorological,Extreme temperature,Heat wave,1,Kill,Romania,ROU,Eastern Europe,Drought,,,,45,?,,,,,2007,6,,30,,,,,,,
2007-0235-SRB,2007,235,Natural,Meteorological,Extreme temperature,Heat wave,1,Kill,Serbia,SRB,Southern Europe,Wildfire,,,,45,?,,,,,2007,7,,,,,,,,,
2007-0341-UKR,2007,341,Technological,Technological,Transport accident,Rail,1,Affected,Ukraine,UKR,Eastern Europe,Gaz leak,No,No,,,,,,,,2007,7,18,,152,,,152,,,
2007-0678-UKR,2007,678,Technological,Technological,Industrial accident,Chemical spill,1,Kill,Ukraine,UKR,Eastern Europe,Oil spill,No,No,,,m3,,,,,2007,11,11,6,,,,,,,867000
2007-0391-POL,2007,391,Natural,Meteorological,Storm,,1,Kill,Poland,POL,Eastern Europe,,,,,,Kph,,,,,2007,8,21,13,,,,,,,
2007-0534-PRT,2007,534,Technological,Technological,Transport accident,Road,1,Kill,Portugal,PRT,Southern Europe,,No,No,,,,,,,,2007,11,5,16,23,,,23,,,
2007-0421-ROU,2007,421,Natural,Hydrological,Flood,Riverine flood,1,Affected,Romania,ROU,Eastern Europe,,,,,26860,Km2,45.82,27.24,,,2007,9,5,7,,1400,,1400,,,
2007-0673-ROU,2007,673,Natural,Meteorological,Extreme temperature,Cold wave,1,Kill,Romania,ROU,Eastern Europe,,,,,,?,,,,,2007,12,10,38,,,,,,,
2007-0180-RUS,2007,180,Natural,Hydrological,Flood,Riverine flood,1,Affected,Russian Federation (the),RUS,Eastern Europe,,,,,313200,Km2,62.34,130.46,,"Lena, Matta, Amga, Vilyuia, Berezovka, Tatta",2007,5,13,,,14000,,14000,,,25752
2007-0215-RUS,2007,215,Technological,Technological,Industrial accident,Explosion,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,m3,,,,,2007,5,24,39,6,172,,178,,,
2007-0230-RUS,2007,230,Technological,Technological,Miscellaneous accident,Explosion,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2007,5,14,10,,,,,,,
2007-0265-RUS,2007,265,Technological,Technological,Industrial accident,Explosion,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,m3,,,,,2007,6,25,11,,,,,,,
2007-0222-RUS,2007,222,Technological,Technological,Miscellaneous accident,Fire,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2007,6,20,10,4,,,4,,,
2007-0492-RUS,2007,492,Technological,Technological,Miscellaneous accident,Fire,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2007,10,2,10,10,,,10,,,
2007-0536-RUS,2007,536,Technological,Technological,Miscellaneous accident,Fire,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2007,11,4,32,,,,,,,
2007-0329-SPI,2007,329,Natural,Climatological,Wildfire,Forest fire,1,Waiting,Canary Is,SPI,Southern Europe,,,,,,Km2,,,,,2007,7,,,,300,105,405,,,
2007-0462-SPI,2007,462,Technological,Technological,Transport accident,Water,1,Kill,Canary Is,SPI,Southern Europe,,,,,,,,,,,2007,9,7,10,,,,,,,
2007-0235-SVK,2007,235,Natural,Meteorological,Extreme temperature,Heat wave,1,Kill,Slovakia,SVK,Eastern Europe,,,,,40,?,,,,,2007,7,,1,89,,,89,,,
2007-0327-SVK,2007,327,Technological,Technological,Miscellaneous accident,Fire,1,Kill,Slovakia,SVK,Eastern Europe,,No,No,,,,,,,,2007,8,3,11,,,,,,,
2007-0502-UKR,2007,502,Technological,Technological,Miscellaneous accident,Explosion,1,Kill,Ukraine,UKR,Eastern Europe,,No,No,,,,,,,,2007,10,13,23,19,,,19,,,
2007-0571-UKR,2007,571,Technological,Technological,Industrial accident,Explosion,1,Kill,Ukraine,UKR,Eastern Europe,,No,No,,,m3,,,,,2007,11,18,101,40,357,,397,,,
2007-0720-UKR,2007,720,Technological,Technological,Industrial accident,Explosion,1,Affected,Ukraine,UKR,Eastern Europe,,No,No,,,m3,,,,,2007,12,2,5,116,,,116,,,
2007-0562-SRB,2007,562,Natural,Hydrological,Flood,Flash flood,1,Affected,Serbia,SRB,Southern Europe,,,,,,Km2,42.76,20.8,,"Luznica, Vlasina, Jablanica, Rogoz, Nisava, JUzna Morava, Crvena Reka, Pusta Reka",2007,11,25,,,12370,,12370,,,
2008-0074-PRT,2008,74,Natural,Hydrological,Flood,Riverine flood,1,Affected,Portugal,PRT,Southern Europe,"Slide (land, mud, snow, rock)",,,,,Km2,,,,,2008,2,18,2,,72,38,110,,,
2008-0306-UKR,2008,306,Natural,Hydrological,Flood,Riverine flood,1,Kill,Ukraine,UKR,Eastern Europe,Rain,,,,,Km2,,,,"Dniestr, Prut",2008,7,26,38,,224725,,224725,,,1000000
2008-0082-ROU,2008,82,Natural,Meteorological,Storm,Extra-tropical storm,1,Kill,Romania,ROU,Eastern Europe,Flood,,,,,Kph,,,,,2008,2,29,,,90,,90,,,
2008-0082-POL,2008,82,Natural,Meteorological,Storm,Extra-tropical storm,1,Kill,Poland,POL,Eastern Europe,,,,,,Kph,,,,,2008,3,1,2,10,1050,,1060,,,50000
2008-0633-POL,2008,633,Natural,Meteorological,Extreme temperature,Cold wave,1,Kill,Poland,POL,Eastern Europe,,,,,-25,?,,,,,2008,11,1,82,,,,,,,
2008-0018-POL,2008,18,Technological,Technological,Transport accident,Air,1,Kill,Poland,POL,Eastern Europe,,No,No,,,,,,,,2008,1,23,20,,,,,,,
2008-0633-PRT,2008,633,Natural,Meteorological,Extreme temperature,Cold wave,1,Kill,Portugal,PRT,Southern Europe,,,,,,?,,,,,2009,1,,,,,,,,,
2008-0306-ROU,2008,306,Natural,Hydrological,Flood,Riverine flood,1,Kill,Romania,ROU,Eastern Europe,,,,,,Km2,,,,"Prut, Siret, Suceava, Tosa rivers",2008,7,26,5,,11000,,11000,,,
2008-0633-ROU,2008,633,Natural,Meteorological,Extreme temperature,Cold wave,1,Kill,Romania,ROU,Eastern Europe,,,,,-31,?,,,,,2009,1,1,43,20,,,20,,,
2008-0476-RUS,2008,476,Natural,Geophysical,Earthquake,Ground movement,1,Kill,Russian Federation (the),RUS,Eastern Europe,,,,,6,Richter,43.372,46.254,,,2008,10,11,13,100,5135,,5235,,,
2008-0406-RUS,2008,406,Technological,Technological,Transport accident,Air,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2008,9,13,88,,,,,,,
2008-0541-RUS,2008,541,Technological,Technological,Transport accident,Water,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2008,11,8,20,21,,,21,,,
2008-0269-SVN,2008,269,Technological,Technological,Transport accident,Road,1,Kill,Slovenia,SVN,Southern Europe,,No,No,,,,,,,,2008,7,4,13,,,,,,,
2008-0633-UKR,2008,633,Natural,Meteorological,Extreme temperature,Cold wave,1,Kill,Ukraine,UKR,Eastern Europe,,,,,-19,?,,,,,2009,1,,5,,,,,,,
2008-0149-UKR,2008,149,Technological,Technological,Transport accident,Air,1,Kill,Ukraine,UKR,Eastern Europe,,No,No,,,,,,,,2008,3,27,12,1,,,1,,,
2008-0173-UKR,2008,173,Technological,Technological,Transport accident,Air,1,Kill,Ukraine,UKR,Eastern Europe,,No,No,,,,,,,,2008,4,28,20,,,,,,,
2008-0207-UKR,2008,207,Technological,Technological,Transport accident,Road,1,Kill,Ukraine,UKR,Eastern Europe,,No,No,,,,,,,,2008,5,23,11,1,,,1,,,
2008-0203-UKR,2008,203,Technological,Technological,Industrial accident,Explosion,1,Kill,Ukraine,UKR,Eastern Europe,,No,No,,,m3,,,,,2008,5,23,11,3,,,3,,,
2008-0227-UKR,2008,227,Technological,Technological,Industrial accident,Explosion,1,Kill,Ukraine,UKR,Eastern Europe,,No,No,,,m3,,,,,2008,6,8,12,5,24,,29,,,
2008-0584-UKR,2008,584,Technological,Technological,Miscellaneous accident,Explosion,1,Kill,Ukraine,UKR,Eastern Europe,,No,No,,,,,,,,2008,12,24,26,,21,,21,,,
2009-0273-AUT,2009,273,Natural,Meteorological,Storm,Convective storm,1,Kill,Austria,AUT,Western Europe,Hail,,,,,Kph,,,,,2009,7,23,,,,,,,,500000
2009-0273-CHE,2009,273,Natural,Meteorological,Storm,Convective storm,1,Kill,Switzerland,CHE,Western Europe,Hail,,,,,Kph,,,,,2009,7,23,,,,,,,,1000000
2009-0506-GBR,2009,506,Natural,Meteorological,Storm,Convective storm,1,Affected,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Flood,,,,160,Kph,,,,,2009,11,13,2,,180,,180,,,
2009-0228-ROU,2009,228,Natural,Hydrological,Flood,Riverine flood,1,Kill,Romania,ROU,Eastern Europe,Lightening,,,,,Km2,,,,,2009,6,25,,4,,,4,,,
2009-0228-POL,2009,228,Natural,Hydrological,Flood,Riverine flood,1,Kill,Poland,POL,Eastern Europe,,,,,,Km2,,,,,2009,6,22,1,,150,,150,,,100000
2009-0142-POL,2009,142,Technological,Technological,Miscellaneous accident,Fire,1,Kill,Poland,POL,Eastern Europe,,No,No,,,,,,,,2009,4,12,22,20,,,20,,,
2009-0015-ROU,2009,15,Natural,Hydrological,Flood,Riverine flood,1,Kill,Romania,ROU,Eastern Europe,,,,,19410,Km2,47.61,24.93,,Iza river,2009,1,23,11,,,,,,,
2009-0120-RUS,2009,120,Technological,Technological,Transport accident,Road,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2009,3,25,25,4,,,4,,,
2009-0061-RUS,2009,61,Technological,Technological,Miscellaneous accident,Fire,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2009,1,31,23,3,,,3,,,
2009-0074-RUS,2009,74,Technological,Technological,Miscellaneous accident,Fire,1,Kill,Russian Federation (the),RUS,Eastern Europe,,,,,,,,,,,2009,2,14,15,,,,,,,
2009-0075-SPI,2009,75,Technological,Technological,Transport accident,Water,1,Kill,Canary Is,SPI,Southern Europe,,,,,,,,,,,2009,2,15,22,,6,,6,,,
2009-0079-SVK,2009,79,Technological,Technological,Transport accident,Road,1,Kill,Slovakia,SVK,Eastern Europe,,No,No,,,,,,,,2009,2,21,12,20,,,20,,,
2009-0215-UKR,2009,215,Technological,Technological,Industrial accident,Gas leak,1,Kill,Ukraine,UKR,Eastern Europe,,No,No,,,m3,,,,,2009,6,8,13,,38,,38,,,
2009-0030-SRB,2009,30,Natural,Meteorological,Extreme temperature,Severe winter conditions,1,Affected,Serbia,SRB,Southern Europe,,,,,,?,,,,,2009,1,15,,500,,,500,,,
2009-0366-ALB,2009,366,Natural,Geophysical,Earthquake,Ground movement,1,Affected,Albania,ALB,Southern Europe,,,,,6,Richter,41.483,20.388,,,2009,9,7,,,,150,150,,,
2009-0631-ALB,2009,631,Natural,Hydrological,Flood,Riverine flood,1,Affected,Albania,ALB,Southern Europe,,,Yes,296,,Km2,,,,Drini river,2009,12,27,,,6600,,6600,,,
2009-0279-AUT,2009,279,Natural,Hydrological,Flood,Riverine flood,1,Declar,Austria,AUT,Western Europe,,,Yes,,2765,Km2,47.4,15.71,,,2009,7,16,,,,,,,,
2009-0571-AUT,2009,571,Natural,Meteorological,Extreme temperature,Cold wave,1,Kill,Austria,AUT,Western Europe,,,,,,?,,,,,2009,12,18,2,,,,,,,
2009-0273-CZE,2009,273,Natural,Meteorological,Storm,Convective storm,1,Kill,Czech Republic (the),CZE,Eastern Europe,,,,,,Kph,,,,,2009,7,23,2,12,,,12,,,
2009-0273-DEU,2009,273,Natural,Meteorological,Storm,Convective storm,1,Kill,Germany,DEU,Western Europe,,,,,,Kph,,,,,2009,7,23,1,,,,,,,50000
2009-0571-DEU,2009,571,Natural,Meteorological,Extreme temperature,Cold wave,1,Kill,Germany,DEU,Western Europe,,,,,-34,?,,,,,2009,12,18,14,,,,,,,
2009-0571-FRA,2009,571,Natural,Meteorological,Extreme temperature,Cold wave,1,Kill,France,FRA,Western Europe,,,,,-24,?,,,,,2009,12,18,2,,,,,,,
2009-0271-FRA,2009,271,Natural,Climatological,Wildfire,Forest fire,1,Affected,France,FRA,Western Europe,,,,,,Km2,,,,,2009,7,,,,,,,,,
2009-0497-GBR,2009,497,Natural,Hydrological,Flood,Riverine flood,1,Affected,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,,,,,106600,Km2,54,-1.66,,,2009,11,19,3,,3900,,3900,,333000,484000
2009-0571-GBR,2009,571,Natural,Meteorological,Extreme temperature,Cold wave,1,Kill,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,,,,,,?,,,,,2009,12,19,3,47,,,47,,,
2009-0271-GRC,2009,271,Natural,Climatological,Wildfire,Forest fire,1,Affected,Greece,GRC,Southern Europe,,,,,,Km2,,,,,2009,7,,,,,,,,,
2009-0345-GRC,2009,345,Natural,Climatological,Wildfire,Forest fire,1,Affected,Greece,GRC,Southern Europe,,,,,,Km2,,,,,2009,8,21,,,715,325,1040,,,
2009-0629-GRC,2009,629,Technological,Technological,Transport accident,Water,1,Kill,Greece,GRC,Southern Europe,,No,No,,,,,,,,2009,12,31,12,,,,,,,
2010-0601-BEL,2010,601,Natural,Hydrological,Flood,Riverine flood,1,Affected,Belgium,BEL,Western Europe,"Slide (land, mud, snow, rock)",,Yes,,8458,Km2,50.85,4.35,,,2010,11,11,3,,690,,690,,,238146
2010-0619-BIH,2010,619,Natural,Hydrological,Flood,Riverine flood,1,Affected,Bosnia and Herzegovina,BIH,Southern Europe,"Slide (land, mud, snow, rock)",,Yes,,,Km2,,,,Drina,2010,12,3,3,,20000,,20000,,,
2010-0193-CZE,2010,193,Natural,Hydrological,Flood,Riverine flood,1,Affected,Czech Republic (the),CZE,Eastern Europe,"Slide (land, mud, snow, rock)",,Yes,,,Km2,,,,Becva river,2010,5,15,1,,1200,,1200,,,190000
2010-0233-FRA,2010,233,Natural,Hydrological,Flood,Flash flood,1,Kill,France,FRA,Western Europe,"Slide (land, mud, snow, rock)",,,,7700,Km2,43.5,6.6,,,2010,6,15,25,,,,,,1070000,1500000
2010-0647-ESP,2010,647,Natural,Hydrological,Flood,Riverine flood,1,Affected,Spain,ESP,Southern Europe,Rain,,,,22049,Km2,37.811,-5.87,,Guadalquivir,2010,12,6,2,,30,,30,,,
2010-0380-CZE,2010,380,Natural,Hydrological,Flood,Flash flood,1,Kill,Czech Republic (the),CZE,Eastern Europe,Flood,,,,,Km2,,,,,2010,8,7,7,,200,,200,,,157560
2010-0380-DEU,2010,380,Natural,Hydrological,Flood,Flash flood,1,Kill,Germany,DEU,Western Europe,Flood,,,,,Km2,,,,,2010,8,7,3,,,,,,,
2010-0088-FRA,2010,88,Natural,Meteorological,Storm,Extra-tropical storm,1,Kill,France,FRA,Western Europe,Flood,,Yes,,140,Kph,,,,,2010,2,28,53,79,500000,,500079,,2100000,4230000
2010-0619-ALB,2010,619,Natural,Hydrological,Flood,Riverine flood,1,Affected,Albania,ALB,Southern Europe,,,Yes,,,Km2,,,,"Drini, Buna, Kiri, Prroi Thate rivers, Shkodra lake",2010,12,3,,,14000,,14000,,,
2010-0309-ALB,2010,309,Technological,Technological,Transport accident,Road,1,Kill,Albania,ALB,Southern Europe,,No,No,,,,,,,,2010,7,17,14,12,,,12,,,
2010-0652-BEL,2010,652,Natural,Meteorological,Storm,Convective storm,1,Affected,Belgium,BEL,Western Europe,,,,,,Kph,,,,,2010,12,23,,,,,,,,
2010-0088-BEL,2010,88,Natural,Meteorological,Storm,Extra-tropical storm,1,Kill,Belgium,BEL,Western Europe,,,,,,Kph,,,,,2010,2,28,1,,,,,,80000,160000
2010-0062-BEL,2010,62,Technological,Technological,Transport accident,Rail,1,Kill,Belgium,BEL,Western Europe,,No,No,,,,,,,,2010,2,15,18,171,,,171,,,
2010-0039-BEL,2010,39,Technological,Technological,Miscellaneous accident,Explosion,1,Kill,Belgium,BEL,Western Europe,,No,No,,,,,,,,2010,1,27,14,21,,,21,,,
2010-0619-BGR,2010,619,Natural,Hydrological,Flood,Riverine flood,1,Affected,Bulgaria,BGR,Eastern Europe,,,,,,Km2,,,,Strouma,2010,12,4,,,90,,90,,,
2010-0050-BGR,2010,50,Natural,Meteorological,Extreme temperature,Cold wave,1,Waiting,Bulgaria,BGR,Eastern Europe,,,,,-38,?,,,,,2010,1,,3,,,,,,,
2010-0252-BIH,2010,252,Natural,Hydrological,Flood,Riverine flood,1,Affected,Bosnia and Herzegovina,BIH,Southern Europe,,,Yes,,,Km2,,,,,2010,6,20,,,14910,,14910,,,87000
2010-0633-BIH,2010,633,Natural,Meteorological,Extreme temperature,Cold wave,1,Waiting,Bosnia and Herzegovina,BIH,Southern Europe,,,,,,?,,,,,2010,12,19,2,,,,,,,
2010-0088-CHE,2010,88,Natural,Meteorological,Storm,Extra-tropical storm,1,Kill,Switzerland,CHE,Western Europe,,,,,,Kph,,,,,2010,2,28,,,,,,,9000,14000
2010-0615-CHE,2010,615,Natural,Meteorological,Extreme temperature,Cold wave,1,Kill,Switzerland,CHE,Western Europe,,,,,,?,,,,,2010,11,30,,,,,,,,
2010-0217-CZE,2010,217,Natural,Hydrological,Flood,Riverine flood,1,Affected,Czech Republic (the),CZE,Eastern Europe,,,,,,Km2,,,,,2010,6,1,3,,,,,,,
2010-0615-CZE,2010,615,Natural,Meteorological,Extreme temperature,Cold wave,1,Kill,Czech Republic (the),CZE,Eastern Europe,,,,,,?,,,,,2010,11,,12,,,,,,,
2010-0652-DEU,2010,652,Natural,Meteorological,Storm,Convective storm,1,Affected,Germany,DEU,Western Europe,,,,,,Kph,,,,,2010,12,23,,,,,,,,
2010-0088-DEU,2010,88,Natural,Meteorological,Storm,Extra-tropical storm,1,Kill,Germany,DEU,Western Europe,,,,,130,Kph,,,,,2010,2,28,4,,,,,,680000,1000000
2010-0615-DEU,2010,615,Natural,Meteorological,Extreme temperature,Cold wave,1,Kill,Germany,DEU,Western Europe,,,,,,?,,,,,2010,11,28,1,,,,,,,
2010-0507-DEU,2010,507,Technological,Technological,Transport accident,Road,1,Kill,Germany,DEU,Western Europe,,No,No,,,,,,,,2010,9,26,12,6,,,6,,,
2010-0299-DEU,2010,299,Technological,Technological,Miscellaneous accident,Other,1,Kill,Germany,DEU,Western Europe,,,,,,,,,,,2010,7,24,21,650,,,650,,,
2010-0652-DNK,2010,652,Natural,Meteorological,Storm,Convective storm,1,Affected,Denmark,DNK,Northern Europe,,,,,,Kph,,,,,2010,12,23,,,,,,,,
2010-0088-ESP,2010,88,Natural,Meteorological,Storm,Extra-tropical storm,1,Kill,Spain,ESP,Southern Europe,,,,,160,Kph,,,,,2010,2,27,3,,,,,,137000,340000
2010-0254-ESP,2010,254,Technological,Technological,Transport accident,Rail,1,Kill,Spain,ESP,Southern Europe,,No,No,,,,,,,,2010,6,23,12,10,,,10,,,
2010-0652-FRA,2010,652,Natural,Meteorological,Storm,Convective storm,1,Affected,France,FRA,Western Europe,,,,,,Kph,,,,,2010,12,23,,,,,,,,
2010-0615-FRA,2010,615,Natural,Meteorological,Extreme temperature,Cold wave,1,Kill,France,FRA,Western Europe,,,,,,?,,,,,2010,11,28,3,,,,,,,
2010-0088-GBR,2010,88,Natural,Meteorological,Storm,Extra-tropical storm,1,Kill,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,,,,,,Kph,,,,,2010,2,28,,,,,,,34,500
2010-0615-GBR,2010,615,Natural,Meteorological,Extreme temperature,Cold wave,1,Kill,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,,,,,,?,,,,,2010,11,28,,,,,,,,
2010-0619-GRC,2010,619,Natural,Hydrological,Flood,Riverine flood,1,Affected,Greece,GRC,Southern Europe,,,,,27315,Km2,40.106,21.46,,Strymonas,2010,11,29,1,,150,,150,,,
2011-0320-BEL,2011,320,Natural,Meteorological,Storm,Convective storm,1,Declar,Belgium,BEL,Western Europe,,,Yes,,,Kph,,,,,2011,8,18,5,71,,,71,,,99000
2011-0012-BEL,2011,12,Natural,Hydrological,Flood,Riverine flood,1,Waiting,Belgium,BEL,Western Europe,,,,,,Km2,,,,,2011,1,8,,,,,,,,
2011-0012-DEU,2011,12,Natural,Hydrological,Flood,Riverine flood,1,Waiting,Germany,DEU,Western Europe,,,,,,Km2,,,,"Rhin, Moselle",2011,1,8,4,,,,,,,
2011-0035-DEU,2011,35,Technological,Technological,Transport accident,Rail,1,Kill,Germany,DEU,Western Europe,,No,No,,,,,,,,2011,1,29,10,,,,,,,
2011-0159-ESP,2011,159,Natural,Geophysical,Earthquake,Ground movement,1,Affected,Spain,ESP,Southern Europe,,,,,5,Richter,37.699,-1.672,18:47,,2011,5,11,10,300,,15000,15300,,100000,200000
2011-0066-EST,2011,66,Technological,Technological,Miscellaneous accident,Fire,1,Kill,Estonia,EST,Northern Europe,,No,No,,,,,,,,2011,2,20,10,,,,,,,
2011-0439-FRA,2011,439,Natural,Hydrological,Flood,Riverine flood,1,Affected,France,FRA,Western Europe,,,,,,Km2,,,,,2011,11,6,6,,2300,,2300,,,
2009-0428-ITA,2009,428,Natural,Hydrological,Flood,Riverine flood,1,Kill,Italy,ITA,Southern Europe,"Slide (land, mud, snow, rock)",,Yes,,1227,Km2,38.11,15.73,,,2009,10,1,35,140,,5000,5140,,,20000
2009-0497-IRL,2009,497,Natural,Hydrological,Flood,Riverine flood,1,Affected,Ireland,IRL,Northern Europe,,,,,,Km2,,,,,2009,11,18,,,,,,,,
2009-0571-ITA,2009,571,Natural,Meteorological,Extreme temperature,Cold wave,1,Kill,Italy,ITA,Southern Europe,,,,,-16,?,,,,,2009,12,21,,,,,,,,
2009-0271-ITA,2009,271,Natural,Climatological,Wildfire,Forest fire,1,Affected,Italy,ITA,Southern Europe,,,,,,Km2,,,,,2009,7,20,2,,,,,,,115000
2009-0410-MKD,2009,410,Technological,Technological,Transport accident,Water,1,Kill,Macedonia (the former Yugoslav Republic of),MKD,Southern Europe,,No,No,,,,,,,,2009,9,5,15,,38,,38,,,
2009-0273-POL,2009,273,Natural,Meteorological,Storm,Convective storm,1,Kill,Poland,POL,Eastern Europe,,,,,130,Kph,,,,,2009,7,23,8,82,,,82,,,
2009-0571-POL,2009,571,Natural,Meteorological,Extreme temperature,Cold wave,1,Kill,Poland,POL,Eastern Europe,,,,,-35,?,,,,,2009,11,1,298,,,,,,,
2009-0401-POL,2009,401,Technological,Technological,Industrial accident,Explosion,1,Kill,Poland,POL,Eastern Europe,,No,No,,,m3,,,,,2009,9,18,20,22,,,22,,,
2009-0571-ROU,2009,571,Natural,Meteorological,Extreme temperature,Cold wave,1,Kill,Romania,ROU,Eastern Europe,,,,,-20,?,,,,,2009,12,20,11,,,,,,,
2009-0325-ROU,2009,325,Technological,Technological,Transport accident,Rail,1,Kill,Romania,ROU,Eastern Europe,,No,No,,,,,,,,2009,8,13,13,3,,,3,,,
2009-0459-RUS,2009,459,Technological,Technological,Transport accident,Air,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2009,11,1,11,,,,,,,
2009-0475-RUS,2009,475,Technological,Technological,Transport accident,Air,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2009,11,6,10,,,,,,,
2009-0272-RUS,2009,272,Technological,Technological,Transport accident,Road,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2009,7,24,25,10,,,10,,,
2009-0496-RUS,2009,496,Technological,Technological,Miscellaneous accident,Explosion,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2009,11,13,35,,,,,,,
2009-0330-RUS,2009,330,Technological,Technological,Industrial accident,Collapse,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,m3,,,,,2009,8,17,75,14,,,14,,,1320000
2009-0534-RUS,2009,534,Technological,Technological,Miscellaneous accident,Fire,1,Kill,Russian Federation (the),RUS,Eastern Europe,,No,No,,,,,,,,2009,12,4,146,86,,,86,,,
2009-0317-SVK,2009,317,Technological,Technological,Industrial accident,Explosion,1,Kill,Slovakia,SVK,Eastern Europe,,No,No,,,m3,,,,,2009,8,10,20,,,,,,,
2009-0571-UKR,2009,571,Natural,Meteorological,Extreme temperature,Cold wave,1,Kill,Ukraine,UKR,Eastern Europe,,,,,-15,?,,,,,2009,12,21,27,,,,,,,
2010-0692-ITA,2010,692,Natural,Meteorological,Storm,Convective storm,1,Affected,Italy,ITA,Southern Europe,Flood,,,,,Kph,,,,,2010,10,31,3,5,,,5,,,872000
2010-0068-PRT,2010,68,Natural,Hydrological,Flood,Riverine flood,1,Kill,Portugal,PRT,Southern Europe,"Slide (land, mud, snow, rock)",,,,483,Km2,32.76,-16.97,,,2010,2,20,43,18,600,,618,1440751,70000,1350000
2010-9318-RUS,2010,9318,Natural,Climatological,Drought,Drought,1,Declar,Russian Federation (the),RUS,Eastern Europe,Heat wave,,Yes,,,Km2,,,,,2010,4,1,,,,,,,,1400000
2010-0380-POL,2010,380,Natural,Hydrological,Flood,Flash flood,1,Kill,Poland,POL,Eastern Europe,Broken Dam/Burst bank,,,,,Km2,,,,,2010,8,7,3,,700,,700,,,
2010-0193-POL,2010,193,Natural,Hydrological,Flood,Riverine flood,1,Affected,Poland,POL,Eastern Europe,Broken Dam/Burst bank,,,,,Km2,,,,"Koszarawa river, Vistule, Oder",2010,5,17,16,,100000,,100000,,,3080000
2010-0352-RUS,2010,352,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",1,Kill,Russian Federation (the),RUS,Eastern Europe,Heat wave,,Yes,,,Km2,,,,,2010,7,,53,996,5000,,5996,,20000,1800000
